car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M2210703684,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-08T18:39:39+00:00,2021-12-08T23:12:49+00:00,2021.11.08 ~ 2021.12.08,1.01,40.0,14.4,100.0,0.0278,40.0,73.22,300.0,32.7,100.0,65.54,5.4,60.14
M2210703685,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:10:10+00:00,2021-12-08T22:59:38+00:00,2021.10.12 ~ 2021.12.08,1.05,40.0,19.23,100.0,0.0133,84.16,72.67,97.0,30.3,100.0,72.8,5.4,67.4
M2210703686,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:10:19+00:00,2021-12-08T23:22:23+00:00,2021.10.06 ~ 2021.12.08,0.87,40.0,18.05,100.0,0.0114,89.49,73.0,77.0,19.0,100.0,73.75,5.4,68.35
M2210703688,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:28:56+00:00,2021-12-08T23:48:49+00:00,2021.10.12 ~ 2021.12.08,0.88,40.0,15.51,100.0,0.0081,95.16,73.2,41.0,11.3,92.68,73.51,5.4,68.11
M2210703689,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:23:51+00:00,2021-12-08T23:11:14+00:00,2021.10.12 ~ 2021.12.08,1.17,40.0,15.38,100.0,0.0101,92.22,72.51,106.0,5.4,97.64,73.73,5.4,68.33
M2210703690,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:19:39+00:00,2021-10-18T20:05:32+00:00,2021.10.12 ~ 2021.10.18,5.0,62.7,26.51,100.0,0.0118,88.5,71.02,,,80.0,77.49,5.4,72.09
M2210703691,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:32:47+00:00,2021-12-08T23:27:43+00:00,2021.10.12 ~ 2021.12.08,1.07,40.0,15.0,100.0,0.0085,94.64,90.0,239.0,10.7,73.43,73.01,5.4,67.61
M2210703692,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T17:05:03+00:00,2021-12-08T23:20:04+00:00,2021.10.13 ~ 2021.12.08,2.14,40.0,16.33,100.0,0.0073,95.96,72.5,33.0,9.8,96.97,74.24,5.4,68.84
M2210703693,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:43:56+00:00,2021-12-08T23:43:55+00:00,2021.10.12 ~ 2021.12.08,3.68,45.14,20.45,100.0,0.0106,91.26,72.55,203.0,2.5,100.0,75.68,5.4,70.28
M2210703694,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:03:24+00:00,2021-12-08T23:15:17+00:00,2021.10.12 ~ 2021.12.08,1.72,40.0,16.35,100.0,0.0137,82.78,72.42,147.0,10.2,98.64,72.31,5.4,66.91
